,confirmed,country_region,deaths,lat,long,province_state,recovered,timestamp
0,24,Zimbabwe,3,-20.0,30.0,null,2,1587124800.0
1,52,Zambia,2,-15.4167,28.2833,null,30,1587124800.0
2,402,West Bank and Gaza,2,31.9522,35.2332,null,69,1587124800.0
3,268,Vietnam,0,16.0,108.0,null,198,1587124800.0
4,1405,Uzbekistan,4,41.3775,64.5853,null,156,1587124800.0
5,291,United Kingdom,4,54.2361,-4.5481,Isle of Man,169,1587124800.0
6,132,United Kingdom,0,36.1408,-5.3536,Gibraltar,105,1587124800.0
7,470,United Kingdom,20,49.3723,-2.3644,Channel Islands,73,1587124800.0
8,61,United Kingdom,1,19.3133,-81.2546,Cayman Islands,7,1587124800.0
9,4,United Kingdom,0,18.4207,-64.64,British Virgin Islands,2,1587124800.0
10,83,United Kingdom,5,32.3078,-64.7505,Bermuda,35,1587124800.0
11,108692,United Kingdom,14576,55.3781,-3.436,null,0,1587124800.0
12,6302,United Arab Emirates,37,24.0,54.0,null,1188,1587124800.0
13,4662,Ukraine,125,48.3794,31.1656,null,246,1587124800.0
14,56,Uganda,0,1.0,32.0,null,20,1587124800.0
15,699706,US,36773,37902.0,-95.7129,null,58545,1587124800.0
16,78546,Turkey,1769,38.9637,35.2433,null,8631,1587124800.0
17,864,Tunisia,37,34.0,9.0,null,43,1587124800.0
18,83,Togo,5,8.6195,0.8248,null,48,1587124800.0
19,2700,Thailand,47,15.0,101.0,null,1689,1587124800.0
20,147,Tanzania,5,-6.369,34.8888,null,11,1587124800.0
21,395,Taiwan*,6,23.7,121.0,null,166,1587124800.0
22,38,Syria,2,34.802075,38.996815,null,5,1587124800.0
23,27078,Switzerland,1327,46.8182,8.2275,null,16400,1587124800.0
24,13216,Sweden,1400,63.0,16.0,null,550,1587124800.0
25,33,Sudan,6,12.8628,30.2176,null,4,1587124800.0
26,244,Sri Lanka,7,7.0,81.0,null,77,1587124800.0
27,190839,Spain,20002,40.0,-4.0,null,74797,1587124800.0
28,2783,South Africa,50,-30.5595,22.9375,null,903,1587124800.0
29,116,Somalia,6,5.1521,46.1996,null,2,1587124800.0
30,1304,Slovenia,66,46.1512,14.9955,null,174,1587124800.0
31,1049,Slovakia,9,48.669,19.699,null,175,1587124800.0
32,5050,Singapore,11,1.2833,103.8333,null,708,1587124800.0
33,26,Sierra Leone,0,8.460555,-11.779889,null,0,1587124800.0
34,11,Seychelles,0,-4.6796,55.492,null,5,1587124800.0
35,5690,Serbia,110,44165.0,21059.0,null,534,1587124800.0
36,342,Senegal,2,14.4974,-14.4524,null,198,1587124800.0
37,7142,Saudi Arabia,87,24.0,45.0,null,1049,1587124800.0
38,435,San Marino,39,43.9424,12.4578,null,57,1587124800.0
39,143,Rwanda,0,-1.9403,29.8739,null,65,1587124800.0
40,32008,Russia,273,60.0,90.0,null,2590,1587124800.0
41,8067,Romania,411,45.9432,24.9668,null,1508,1587124800.0
42,4663,Qatar,7,25.3548,51.1839,null,464,1587124800.0
43,19022,Portugal,657,39.3999,-8.2245,null,519,1587124800.0
44,8379,Poland,332,51.9194,19.1451,null,866,1587124800.0
45,5878,Philippines,387,13.0,122.0,null,487,1587124800.0
46,13489,Peru,300,-9.19,-75152.0,null,6541,1587124800.0
47,199,Paraguay,8,-23.4425,-58.4438,null,30,1587124800.0
48,4016,Panama,109,8.538,-80.7821,null,98,1587124800.0
49,7025,Pakistan,135,30.3753,69.3451,null,1765,1587124800.0
